TransID,AccountID,Date,Transaction_Type,Amount,Channel,Merchant
T000145,ACC00249,2024-08-16,Payment,3871,ATM,LocalStore
T000146,ACC00246,2024-11-25,Transfer,9348,Branch,Netflix
T000147,ACC00587,2023-12-18,Payment,9759,POS,Uber
T000148,ACC00157,2024-09-27,Withdrawal,8501,ATM,Apple
T000149,ACC00735,2024-10-26,Deposit,7909,Online,Apple
T000150,ACC00702,2024-12-27,Withdrawal,7155,POS,Uber
T000151,ACC00564,2025-05-27,Transfer,5871,Branch,Walmart
T000152,ACC00088,2025-04-02,Payment,258,ATM,LocalStore
T000153,ACC00313,2025-04-18,Deposit,4333,Branch,Shell
T000154,ACC00066,2024-06-29,Transfer,7111,ATM,Airbnb
T000155,ACC00662,2025-04-18,Deposit,2870,Branch,Airbnb
T000156,ACC00020,2024-09-30,Deposit,733,POS,Amazon
T000157,ACC00033,2024-05-03,Transfer,579,Online,LocalStore
T000158,ACC00793,2024-05-12,Withdrawal,8421,POS,Hospital
T000159,ACC00558,2024-05-18,Transfer,9596,POS,Shell
T000160,ACC00073,2025-02-16,Transfer,2844,Online,Airbnb
T000161,ACC00343,2023-12-31,Withdrawal,7938,ATM,Hospital
T000162,ACC00133,2024-05-27,Payment,6681,ATM,Netflix
T000163,ACC00055,2025-07-07,Transfer,2132,Online,Hospital
T000164,ACC00061,2024-02-19,Deposit,4010,Branch,Hospital
T000165,ACC00520,2024-08-23,Transfer,3099,ATM,Shell
T000166,ACC00272,2024-06-03,Transfer,7175,POS,Netflix
T000167,ACC00246,2024-07-01,Deposit,7220,Online,Hospital
T000168,ACC00176,2025-02-22,Withdrawal,59,POS,Uber
T000169,ACC00628,2025-07-24,Payment,524,ATM,Target
T000170,ACC00317,2024-08-01,Payment,4681,Online,Apple
T000171,ACC00783,2024-03-17,Deposit,7759,Online,Walmart
T000172,ACC00705,2024-08-15,Withdrawal,1175,ATM,Apple
T000173,ACC00662,2025-06-21,Transfer,424,ATM,Amazon
T000174,ACC00131,2024-02-03,Transfer,1114,Online,Hospital
T000175,ACC00102,2024-01-16,Transfer,4868,Branch,Airbnb
T000176,ACC00310,2024-04-19,Transfer,3366,Online,LocalStore
T000177,ACC00782,2024-06-14,Transfer,2426,Branch,Amazon
T000178,ACC00292,2024-11-05,Deposit,5621,POS,Shell
T000179,ACC00722,2024-03-26,Transfer,5475,Branch,LocalStore
T000180,ACC00495,2023-10-26,Transfer,8405,Branch,LocalStore
T000181,ACC00361,2023-10-24,Withdrawal,7202,ATM,Shell
T000182,ACC00338,2025-03-08,Transfer,5682,Online,Uber
T000183,ACC00579,2025-01-10,Payment,8270,POS,Apple
T000184,ACC00010,2024-06-03,Deposit,8717,Online,Amazon
T000185,ACC00049,2025-01-09,Deposit,3573,Branch,Apple
T000186,ACC00487,2025-01-28,Deposit,6393,Branch,Netflix
T000187,ACC00623,2023-12-29,Payment,9666,Branch,Airbnb
T000188,ACC00321,2024-11-27,Transfer,9854,Online,Amazon
T000189,ACC00731,2024-04-16,Deposit,8908,Branch,Shell
T000190,ACC00569,2025-07-12,Payment,9827,Online,Hospital
T000191,ACC00795,2024-02-21,Withdrawal,6843,POS,Amazon
T000192,ACC00625,2024-12-29,Transfer,4762,POS,Amazon
T000193,ACC00133,2024-09-27,Payment,8133,Online,Target
T000194,ACC00583,2024-01-06,Transfer,3795,POS,Shell
T000195,ACC00083,2025-07-07,Withdrawal,9547,ATM,Shell
T000196,ACC00057,2024-12-17,Payment,8545,Branch,Apple
T000197,ACC00376,2023-11-05,Transfer,8737,Branch,Airbnb
T000198,ACC00349,2025-03-11,Payment,8556,Branch,Shell
T000199,ACC00271,2023-11-23,Deposit,5033,ATM,Walmart
T000200,ACC00483,2025-01-27,Transfer,992,Branch,Shell
T000201,ACC00111,2024-08-30,Payment,1355,Online,Walmart
T000202,ACC00076,2024-08-14,Deposit,5701,Branch,Hospital
T000203,ACC00158,2025-07-22,Withdrawal,6012,Online,Airbnb
T000204,ACC00532,2023-12-26,Transfer,536,POS,Uber
T000205,ACC00643,2024-04-06,Transfer,6657,Online,Amazon
T000206,ACC00329,2024-06-17,Withdrawal,7262,Online,Airbnb
T000207,ACC00122,2024-12-14,Deposit,940,Online,Apple
T000208,ACC00041,2025-01-01,Withdrawal,2292,Branch,Amazon
T000209,ACC00167,2025-06-23,Transfer,1956,ATM,Walmart
T000210,ACC00642,2024-03-28,Payment,3370,ATM,LocalStore
T000211,ACC00023,2025-07-11,Deposit,9795,Online,Airbnb
T000212,ACC00279,2023-10-14,Deposit,8122,Branch,Apple
T000213,ACC00763,2024-11-28,Deposit,2935,ATM,Walmart
T000214,ACC00469,2024-12-07,Withdrawal,3635,POS,Apple
T000215,ACC00400,2025-05-13,Withdrawal,5479,POS,Apple
T000216,ACC00009,2024-05-21,Payment,1233,Branch,Apple
T000217,ACC00013,2023-11-12,Payment,7120,POS,Airbnb
T000218,ACC00052,2024-07-20,Deposit,9167,POS,LocalStore
T000219,ACC00209,2024-12-31,Payment,5002,POS,Walmart
T000220,ACC00550,2024-11-28,Withdrawal,8824,ATM,Uber
T000221,ACC00612,2023-11-23,Payment,4797,POS,Walmart
T000222,ACC00705,2025-07-28,Withdrawal,6828,Online,Shell
T000223,ACC00402,2025-01-27,Payment,4736,Online,Amazon
T000224,ACC00191,2025-03-23,Transfer,2382,POS,LocalStore
T000225,ACC00051,2024-05-25,Withdrawal,3309,Online,Airbnb
T000226,ACC00393,2024-03-30,Transfer,9370,ATM,Target
T000227,ACC00653,2024-09-09,Withdrawal,6461,Branch,Uber
T000228,ACC00680,2023-11-13,Payment,8593,Online,Amazon
T000229,ACC00621,2023-11-30,Transfer,3819,POS,Target
T000230,ACC00719,2024-11-11,Payment,2417,Branch,Shell
T000231,ACC00300,2025-01-31,Withdrawal,4874,Branch,Walmart
T000232,ACC00622,2024-07-13,Transfer,5037,POS,Walmart
T000233,ACC00196,2025-01-28,Deposit,4270,Online,LocalStore
T000234,ACC00417,2024-04-14,Payment,4838,ATM,Airbnb
T000235,ACC00664,2024-12-06,Withdrawal,8782,Online,Airbnb
T000236,ACC00420,2024-03-02,Transfer,9022,Online,Amazon
T000237,ACC00755,2024-09-12,Payment,9449,ATM,Netflix
T000238,ACC00640,2023-09-10,Transfer,8325,Branch,Shell
T000239,ACC00617,2025-06-02,Payment,1884,ATM,Netflix
T000240,ACC00522,2025-05-15,Payment,8725,ATM,Apple
T000241,ACC00356,2025-05-12,Payment,3133,POS,Uber
T000242,ACC00148,2025-02-25,Transfer,4234,POS,Walmart
T000243,ACC00365,2023-09-11,Transfer,5264,Online,Amazon
T000244,ACC00364,2024-09-03,Payment,3208,POS,Netflix
T000245,ACC00652,2023-12-02,Deposit,7092,ATM,LocalStore
T000246,ACC00702,2024-12-20,Deposit,1220,ATM,Hospital
T000247,ACC00402,2024-08-30,Deposit,9228,POS,Airbnb
T000248,ACC00606,2023-10-03,Withdrawal,5414,POS,Walmart
T000249,ACC00492,2023-11-24,Deposit,4127,POS,Amazon
T000250,ACC00229,2024-10-01,Transfer,5439,ATM,Target
T000251,ACC00575,2024-01-09,Deposit,8699,Branch,Uber
T000252,ACC00537,2024-10-27,Transfer,9895,Branch,Apple
T000253,ACC00268,2025-05-25,Withdrawal,4768,POS,LocalStore
T000254,ACC00405,2025-03-31,Transfer,8192,Online,Shell
T000255,ACC00793,2025-03-19,Transfer,8926,Online,LocalStore
T000256,ACC00011,2025-07-26,Transfer,385,Branch,Apple
T000257,ACC00320,2025-03-25,Deposit,7423,POS,Hospital
T000258,ACC00713,2023-09-28,Payment,4408,ATM,Shell
T000259,ACC00126,2025-05-16,Transfer,3869,Online,Shell
T000260,ACC00306,2024-03-22,Deposit,1696,Online,Amazon
T000261,ACC00702,2024-05-24,Deposit,5022,ATM,LocalStore
T000262,ACC00511,2024-12-08,Deposit,266,ATM,Walmart
T000263,ACC00089,2025-04-05,Payment,3610,POS,Apple
T000264,ACC00355,2024-02-14,Payment,60,ATM,Hospital
T000265,ACC00628,2023-10-06,Payment,6600,ATM,Hospital
T000266,ACC00352,2024-12-29,Payment,7447,ATM,Airbnb
T000267,ACC00689,2023-11-29,Withdrawal,604,Branch,Uber
T000268,ACC00014,2023-12-02,Payment,4741,ATM,Amazon
T000269,ACC00257,2025-06-30,Payment,3883,Online,Amazon
T000270,ACC00209,2023-12-01,Payment,9274,POS,Target
T000271,ACC00281,2024-06-21,Transfer,5758,POS,Amazon
T000272,ACC00443,2025-03-23,Transfer,5247,POS,Shell
T000273,ACC00389,2024-06-11,Payment,1486,Branch,Target
T000274,ACC00617,2025-03-10,Withdrawal,4880,Online,Hospital
T000275,ACC00483,2024-06-29,Transfer,8042,ATM,Walmart
T000276,ACC00147,2025-05-26,Deposit,3030,Online,Netflix
T000277,ACC00279,2023-12-21,Transfer,6076,POS,Uber
T000278,ACC00521,2024-02-29,Deposit,8063,ATM,Uber
T000279,ACC00630,2024-07-22,Transfer,9866,POS,Walmart
T000280,ACC00606,2024-04-06,Payment,9597,POS,Walmart
T000281,ACC00434,2024-04-05,Transfer,8076,POS,Netflix
T000282,ACC00144,2023-11-24,Payment,8177,Online,Airbnb
T000283,ACC00289,2023-11-27,Payment,4790,Online,LocalStore
T000284,ACC00386,2024-06-15,Transfer,4055,POS,Uber
T000285,ACC00014,2025-08-09,Deposit,2243,POS,Airbnb
T000286,ACC00257,2023-08-31,Deposit,8127,ATM,Amazon
T000287,ACC00346,2025-08-09,Transfer,6369,POS,Walmart
T000288,ACC00698,2024-02-27,Payment,4207,POS,Target
T000289,ACC00345,2023-10-02,Deposit,9508,POS,Airbnb
T000290,ACC00400,2023-09-21,Withdrawal,9839,POS,Airbnb
T000291,ACC00207,2024-08-29,Payment,9342,Online,Uber
T000292,ACC00172,2025-03-23,Transfer,625,POS,Hospital
T000293,ACC00464,2025-05-07,Payment,1576,Branch,Target
T000294,ACC00270,2023-11-12,Withdrawal,9178,POS,LocalStore
T000295,ACC00221,2024-07-25,Withdrawal,9518,Online,Amazon
T000296,ACC00152,2023-12-23,Deposit,2349,Branch,Netflix
T000297,ACC00623,2024-04-15,Withdrawal,8119,Branch,Apple
T000298,ACC00183,2025-04-08,Payment,7384,POS,Hospital
T000299,ACC00399,2025-03-05,Deposit,6717,POS,Uber
T000300,ACC00072,2023-09-08,Withdrawal,388,Online,Hospital
T000301,ACC00418,2024-11-25,Deposit,3475,Branch,Target
T000302,ACC00283,2024-12-03,Deposit,6015,Branch,Shell
T000303,ACC00074,2024-06-06,Transfer,2281,Online,LocalStore
T000304,ACC00355,2024-05-10,Deposit,9248,POS,Amazon
T000305,ACC00727,2025-01-18,Deposit,1017,ATM,Hospital
T000306,ACC00497,2024-04-14,Withdrawal,6810,ATM,LocalStore
T000307,ACC00328,2025-03-12,Payment,119,Branch,Apple
T000308,ACC00535,2025-02-02,Payment,2781,Branch,Amazon
T000309,ACC00580,2025-05-06,Withdrawal,3893,POS,Apple
T000310,ACC00447,2024-02-26,Payment,2610,ATM,Airbnb
T000311,ACC00373,2024-12-10,Deposit,5528,Branch,Hospital
T000312,ACC00362,2024-03-06,Transfer,3253,POS,Apple
T000313,ACC00093,2024-07-08,Deposit,1015,ATM,LocalStore
T000314,ACC00321,2023-12-24,Deposit,315,Online,Shell
T000315,ACC00324,2024-03-04,Transfer,5711,Branch,Netflix
T000316,ACC00384,2024-12-09,Withdrawal,968,Online,Walmart
T000317,ACC00575,2023-10-28,Deposit,9155,ATM,Shell
T000318,ACC00736,2024-09-23,Deposit,5280,POS,Uber
T000319,ACC00737,2023-10-11,Withdrawal,7605,POS,Shell
T000320,ACC00346,2023-12-03,Deposit,3548,ATM,Apple
T000321,ACC00103,2025-08-14,Deposit,7030,Online,Uber
T000322,ACC00215,2025-04-14,Payment,1640,POS,Shell
T000323,ACC00192,2025-08-06,Withdrawal,9993,Branch,Walmart
T000324,ACC00672,2024-11-14,Deposit,2613,Online,LocalStore
T000325,ACC00719,2024-09-22,Deposit,8268,Online,Netflix
T000326,ACC00781,2024-03-15,Transfer,9036,Branch,Apple
T000327,ACC00194,2024-05-21,Transfer,215,ATM,Hospital
T000328,ACC00380,2025-04-06,Transfer,9916,POS,Amazon
T000329,ACC00403,2025-08-17,Deposit,9734,Online,Target
T000330,ACC00664,2024-04-06,Deposit,5701,POS,Hospital
T000331,ACC00749,2024-05-14,Transfer,6151,POS,Airbnb
T000332,ACC00600,2024-05-01,Payment,3155,Online,Apple
T000333,ACC00011,2025-06-26,Payment,3130,ATM,Amazon
T000334,ACC00187,2023-11-25,Payment,6738,Online,LocalStore
T000335,ACC00726,2024-07-01,Payment,8909,ATM,Airbnb
T000336,ACC00015,2024-10-22,Withdrawal,6040,Branch,Target
T000337,ACC00778,2025-05-02,Transfer,188,ATM,Apple
T000338,ACC00297,2024-09-29,Deposit,5177,ATM,Hospital
T000339,ACC00411,2023-12-18,Transfer,122,Online,Shell
T000340,ACC00585,2024-03-23,Payment,8958,POS,Hospital
T000341,ACC00052,2025-07-05,Deposit,9098,POS,Hospital
T000342,ACC00640,2024-04-25,Withdrawal,8360,ATM,Target
T000343,ACC00028,2023-08-25,Transfer,8987,ATM,Apple
T000344,ACC00577,2024-07-03,Deposit,1813,Online,Apple
T000345,ACC00017,2024-09-03,Deposit,2308,ATM,Uber
T000346,ACC00351,2024-09-08,Payment,1552,Online,Hospital
T000347,ACC00428,2024-09-06,Payment,7269,Branch,LocalStore
T000348,ACC00650,2025-05-07,Transfer,2164,ATM,Amazon
T000349,ACC00229,2024-08-01,Withdrawal,8776,Branch,Amazon
T000350,ACC00766,2024-08-16,Deposit,1391,ATM,Airbnb
T000351,ACC00210,2024-02-16,Payment,5912,ATM,Target
T000352,ACC00431,2023-12-25,Transfer,1232,Branch,Hospital
T000353,ACC00294,2024-03-02,Payment,1511,Branch,LocalStore
T000354,ACC00743,2024-02-07,Transfer,9060,Online,Airbnb
T000355,ACC00753,2024-04-06,Payment,3584,Online,Apple
T000356,ACC00582,2025-04-10,Withdrawal,3739,Branch,Amazon
T000357,ACC00104,2023-11-13,Deposit,7750,ATM,Walmart
T000358,ACC00204,2024-11-10,Payment,3201,Online,Uber
T000359,ACC00053,2024-11-07,Deposit,9798,ATM,LocalStore
T000360,ACC00375,2024-12-16,Transfer,7486,POS,Airbnb
T000361,ACC00054,2025-02-27,Withdrawal,1571,Online,Airbnb
T000362,ACC00276,2023-08-25,Deposit,2532,Online,LocalStore
T000363,ACC00335,2024-03-20,Payment,2401,Online,Shell
T000364,ACC00031,2023-09-26,Deposit,2685,POS,Walmart
T000365,ACC00135,2025-04-26,Deposit,2193,Branch,Apple
T000366,ACC00058,2025-02-28,Transfer,8478,ATM,Amazon
T000367,ACC00105,2024-02-01,Withdrawal,8076,POS,Hospital
T000368,ACC00266,2025-07-04,Withdrawal,2088,Branch,LocalStore
T000369,ACC00522,2024-10-19,Deposit,4352,Online,Target
T000370,ACC00496,2023-12-16,Deposit,1130,Branch,Walmart
T000371,ACC00253,2025-08-03,Transfer,5429,Branch,Uber
T000372,ACC00295,2025-01-04,Deposit,3380,Branch,Uber
T000373,ACC00668,2024-03-10,Transfer,1918,ATM,Target
T000374,ACC00158,2024-11-07,Withdrawal,3530,Branch,Walmart
T000375,ACC00549,2023-10-08,Withdrawal,4317,Branch,Airbnb
T000376,ACC00631,2024-09-03,Transfer,4506,Branch,Uber
T000377,ACC00067,2023-11-02,Deposit,4760,Branch,Airbnb
T000378,ACC00754,2024-04-27,Withdrawal,507,POS,Shell
T000379,ACC00299,2024-10-30,Payment,7001,POS,Walmart
T000380,ACC00463,2024-05-07,Transfer,3597,Branch,LocalStore
T000381,ACC00725,2024-06-17,Withdrawal,2423,Branch,Hospital
T000382,ACC00101,2025-06-07,Withdrawal,3810,Branch,Amazon
T000383,ACC00056,2025-06-01,Withdrawal,8664,Online,Shell
T000384,ACC00332,2023-10-30,Payment,6181,Branch,Airbnb
T000385,ACC00751,2024-01-10,Payment,3467,Branch,Walmart
T000386,ACC00393,2024-05-30,Payment,8474,POS,Shell
T000387,ACC00743,2025-04-25,Deposit,6979,POS,Airbnb
T000388,ACC00381,2025-06-04,Transfer,1160,POS,Hospital
T000389,ACC00092,2025-03-28,Deposit,7464,ATM,Hospital
T000390,ACC00791,2025-04-19,Payment,5217,Online,Target
T000391,ACC00447,2024-12-17,Transfer,28,Branch,Apple
T000392,ACC00109,2024-12-28,Deposit,9818,POS,Uber
T000393,ACC00317,2023-12-09,Deposit,3188,ATM,Hospital
T000394,ACC00168,2025-06-22,Deposit,5587,Branch,Netflix
T000395,ACC00435,2025-07-12,Payment,4091,Branch,Hospital
T000396,ACC00442,2024-07-14,Withdrawal,6464,POS,Shell
T000397,ACC00218,2024-07-03,Transfer,8613,Branch,Amazon
T000398,ACC00222,2023-11-17,Payment,8943,Branch,Walmart
T000399,ACC00673,2025-04-07,Transfer,2681,Branch,Shell
T000400,ACC00528,2025-02-15,Payment,6397,POS,Apple
T000401,ACC00278,2024-12-17,Deposit,6843,ATM,Hospital
T000402,ACC00569,2024-10-22,Deposit,2634,Branch,LocalStore
T000403,ACC00574,2024-05-06,Withdrawal,5509,ATM,Walmart
T000404,ACC00466,2024-09-21,Withdrawal,524,Branch,Shell
T000405,ACC00754,2023-10-30,Transfer,216,POS,Netflix
T000406,ACC00602,2024-06-29,Withdrawal,957,ATM,Amazon
T000407,ACC00584,2023-10-19,Withdrawal,1838,POS,Uber
T000408,ACC00030,2023-09-08,Transfer,6871,Online,Walmart
T000409,ACC00359,2024-02-18,Payment,6104,Branch,Apple
T000410,ACC00288,2023-09-06,Withdrawal,6355,Online,LocalStore
T000411,ACC00086,2024-03-20,Payment,2177,Online,Netflix
T000412,ACC00234,2023-12-05,Deposit,7989,Online,Uber
T000413,ACC00747,2025-08-12,Withdrawal,5936,Branch,Airbnb
T000414,ACC00313,2024-08-31,Deposit,6542,POS,Amazon
T000415,ACC00365,2024-02-16,Deposit,5666,Online,Uber
T000416,ACC00777,2025-02-25,Payment,5953,ATM,Hospital
T000417,ACC00799,2023-11-07,Transfer,9858,Branch,Target
